Title,Summary,Category
Duncan Idaho,"Duncan Idaho is a fictional character in the Dune universe created by Frank Herbert. He was introduced in the first novel of the series, 1965's Dune, and became a breakout character. He was revived in 1969's Dune Messiah. He is the only character to feature in all six of Herbert's original Dune novels.",Fiction
Brian's Winter,"Brian's Winter is a 1996 young adult novel by Gary Paulsen. It is the third novel in the Hatchet series, but second in terms of chronology as an alternate ending sequel to Hatchet.",Fiction
Connan the Barbarian,"Conan the Barbarian (also known as Conan the Cimmerian) is a fictional sword and sorcery hero who originated in pulp magazines and has since been adapted to books, comics, films (including Conan the Barbarian and Conan the Destroyer), television programs (animated and live-action), video games, and role-playing games. Robert E. Howard created the character in 1932 for a series of fantasy stories published in Weird Tales magazine.",Fiction
The Islands of the Blessed,"The Islands of the Blessed is a fantasy novel for children, written by Nancy Farmer and published by Atheneum in 2009. It is the third, and so far the last, in the Sea of Trolls series, which is named for its first book (2004).",Fiction
Tlaloc (Dune),"Multiple organizations of the Dune universe dominate the political, religious, and social arena of the setting of Frank Herbert's Dune series of science fiction novels, and derivative works. Set tens of thousands of years in the future, the saga chronicles a civilization which has banned computers but has also developed advanced technology and mental and physical abilities through physical training, eugenics and the use of the drug melange. Specialized groups of individuals have aligned themselves in organizations focusing on specific abilities, technology and goals. Herbert's concepts of human evolution and technology have been analyzed and deconstructed in at least one book, The Science of Dune (2008). His originating 1965 novel Dune is popularly considered one of the greatest science fiction novels of all time, and is frequently cited as the best-selling science fiction novel in history. Dune and its five sequels by Herbert explore the complex and multilayered interactions of politics, religion, ecology and technology, among other themes.",Fiction
Among the Brave,"Among the Brave is a 2004 young adult science fiction novel by American writer Margaret Peterson Haddix, about a time in which drastic measures have been taken to quell overpopulation. It is the fifth of seven novels in the Shadow Children series.",Fiction
The Invisible Intruder,The Invisible Intruder is the 46th volume in the Nancy Drew Mystery Stories series. It was first published in 1969 under Carolyn Keene. The actual author was ghostwriter Harriet Stratemeyer Adams.,Fiction
Anna and the French Kiss,"Anna and the French Kiss is the 2010 debut novel of Stephanie Perkins. The book was published on December 2, 2010, through Dutton Juvenile and was written during National Novel Writing Month. The book was followed with the sequels Lola and the Boy Next Door and Isla and the Happily Ever After.",Fiction
List of Trixie Belden books,"Trixie Belden is a series of 'girl detective' mysteries written between 1948 and 1986. The first six books were written by Julie Campbell Tatham. The following 33 titles were written by various in-house writers of Western Publishing under the pseudonym Kathryn Kenny. Between 2003 and 2006, Random House republished the first fifteen books of the series with new cover art illustrated by pulp artist Michael Koelsch. There has been no news of Random House publishing the remaining 24 books.",Fiction
Sorilea,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Tic-Tac-Terror,"Tic-Tac-Terror is the 74th title of the Hardy Boys Mystery Stories, written by Franklin W. Dixon.  It was published by Wanderer Books in 1982.",Fiction
Sergeant Stronginthearm,"The Ankh-Morpork City Watch is a fictional police force appearing in Terry Prattchett's Discworld series. The Watch primarily functions out of the fictional city of Ankh-Morpork, but some stories do include members of the watch elsewhere in the world. ",Fiction
After Ever After,"After Ever After is a book written by Jordan Sonnenblick. It is a continuation of the Alper family storyline from Drums, Girls, and Dangerous Pie, focusing on Jeffrey Alper's life after his cancer went into remission. Sonnenblick chose to continue the storyline after receiving an email from a social worker who told him ""that the story was far from finished"".",Fiction
Chesmal Emry,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Keeper of the Doves,"Keeper of the Doves is a 2002 American children's novel by Betsy Byars. Set in turn-of-the-century Kentucky, the novel is written in a series of episodes of first-person narratives about the emerging awareness of a girl, her place in her family and world, and the tremendous power of words for good and bad. Reflecting the narrator's love of words is the fact that each chapter begins with a succeeding letter of the alphabet.",Fiction
Constable Washpot,"The Ankh-Morpork City Watch is a fictional police force appearing in Terry Prattchett's Discworld series. The Watch primarily functions out of the fictional city of Ankh-Morpork, but some stories do include members of the watch elsewhere in the world. ",Fiction
Generation Dead,Generation Dead is a young adult supernatural romance novel by Daniel Waters.,Fiction
Wing Commander Vinyaya,This is a list of characters in the Artemis Fowl novel series by Eoin Colfer.,Fiction
Lucinda Pierce Mystery series,"The Lucinda Pierce Mystery series is a book series written by American non-fiction author and novelist Diane Fanning, debuted in 2008 with The Trophy Exchange. The four-part series, released by Severn House in the UK and US, features Virginia Homicide Detective Lucinda Pierce as she follows the evidence and investigates murders. Known for her non-fiction true crime books, Publishers Weekly described the series as ""double duty for Fanning.""",Fiction
Corporal Nobbs,"The Ankh-Morpork City Watch is a fictional police force appearing in Terry Prattchett's Discworld series. The Watch primarily functions out of the fictional city of Ankh-Morpork, but some stories do include members of the watch elsewhere in the world. ",Fiction
Mat Cauthon,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Opal Koboi,This is a list of characters in the Artemis Fowl novel series by Eoin Colfer.,Fiction
The Jewelled Serpent,"The Jewelled Serpent, a Study of To-day was an 1872 young adult novel by E. J. Richmond. Published in New York City by the National Temperance Society and Publishing House, it was cloth-bound and had 271 pages. Through its story, the book inculcated those principles of morality associated in the temperance movement era with becoming a responsible adult.",Fiction
Ring of Fire II,Ring of Fire II is a 2008 anthology created by editor-author-historian Eric Flint. It is the second anthology in the 1632 series following after Ring of Fire (2004).,Fiction
Rosalie Lillian Hale,"The following is a list of characters in the Twilight novel series by Stephenie Meyer, comprising the books Twilight, New Moon, Eclipse and Breaking Dawn, as well as The Twilight Saga film series adaptations.",Fiction
Minerva (Re:Zero),The light novel Re:Zero and its derivative anime and manga adaptations feature a cast of characters created by Tappei Nagatsuki and designed by Shinichirou Otsuka.,Fiction
House of Stairs (Sleator novel),"House of Stairs (1974) is a science fiction novel by William Sleator about orphaned teenagers placed in a house of stairs, similar to the lithograph print by M. C. Escher, which provided the novel's title and setting, in a ",Fiction
Twilight (2008 film),"Twilight is a 2008 American romantic fantasy film directed by Catherine Hardwicke from a screenplay by Melissa Rosenberg, based on the 2005 novel of the same name by Stephenie Meyer. It is the first installment in The Twilight Saga film series. The film stars Kristen Stewart as Bella Swan, a teenage girl, and Robert Pattinson as Edward Cullen, a vampire. It focuses on the development of Bella and Edward's relationship and the subsequent efforts of Edward and his family to keep Bella safe from another coven of vampires.",Fiction
The Game of Sunken Places,"The Game of Sunken Places, first published by Scholastic Paperbacks in 2004, is a children's fantasy novel by M. T. Anderson. It is the first of the Norumbegan Quartet which continues in The Suburb beyond the Stars (2010), The Empire of Gut and Bone (2011), and The Chamber in the Sky (2012).",Fiction
Capital Mysteries,"Capital Mysteries is a series of mystery novels for young readers written by Ron Roy. It was inaugurated in 2001 with Who Cloned the President?, illustrated by Liza Woodruff and published by Golden Books. Beginning with the third volume in 2003 it was illustrated by Timothy Bush and published by Random House.  ",Fiction
Animorphs,"Animorphs is a science fantasy series of youth books written by Katherine Applegate and her husband Michael Grant, writing together under the name K. A. Applegate, and published by Scholastic. It is told in first person, with all six main characters taking turns narrating the books through their own perspectives. The core themes of the series are horror, war, imperialism, dehumanization, sanity, morality, innocence, leadership, freedom, family, and growing up.",Fiction
Leto I Atreides,"Dune is a science fiction media franchise that originated with the 1965 novel of the same name by American author Frank Herbert. Dune is frequently cited as the best-selling science fiction novel in history, and won the 1966 Hugo Award as well as the inaugural Nebula Award for Best Novel. Herbert wrote five sequels before his death in 1986: Dune Messiah (1969), Children of Dune (1976), God Emperor of Dune (1981), Heretics of Dune (1984) and Chapterhouse: Dune (1985).",Fiction
Jinjur,General Jinjur is an antagonist in the 1904 novel The Marvelous Land of Oz. She is a character in the Oz books by L. Frank Baum and his successors.,Fiction
The Hammer of Thor,"The Hammer of Thor is an American young-adult fantasy novel based on Norse mythology written by Rick Riordan. It was published on October 4, 2016 as a hardcover, audiobook, and ebook, and is the second book in the Magnus Chase and the Gods of Asgard series.",Fiction
Peter and the Sword of Mercy,"Peter and the Sword of Mercy is a children's novel that was published by Hyperion Books, a subsidiary of Disney, in 2009. Written by Dave Barry and Ridley Pearson, the book is an unauthorized reimagining of characters and situations from Peter Pan, or the Boy Who Wouldn't Grow Up by J. M. Barrie, and tells the story of an orphan named Peter.  It was illustrated by artist Greg Call. It is a sequel and fourth installment to Barry and Pearson's ""Starcatchers"" series, best-sellers released in 2004–2007, which was originally said at the time to be a trilogy. This book was released on October 13, 2009.  The next book, called The Bridge to Never Land, was published in 2011.",Fiction
The Haunting (Nixon novel),"The Haunting is a mystery novel for young adults by American writer Joan Lowery Nixon, first published in 1998.",Fiction
Pigwidgeon,"A variety of magical creatures are depicted in the fictional universe of Harry Potter, which is drawn from various types of media. Magical creatures appear in the Harry Potter novels and their film adaptations, in the Fantastic Beasts film series, in other books by J. K. Rowling, and on the website of the Wizarding World media franchise. In 2001, Rowling released Fantastic Beasts and Where to Find Them, which serves as a guidebook to the creatures described in the fictional universe. Some of these creatures were invented by Rowling. Others are derived from sources such as Greek mythology, English and Celtic folklore, and the works of Roman historians.",Fiction
Aravis,Aravis is a fictional character in the 1954 novel The Horse and His Boy by C. S. Lewis.,Fiction
High Stakes (Nancy Drew/Hardy Boys),"Super Mystery is a 36-volume series of crossover paperbacks, pairing The Hardy Boys with Nancy Drew. Earlier crossovers include a 1970s TV series, the novelization of one of the TV episodes (The Hardy Boys and Nancy Drew Meet Dracula), two SuperSleuths books (each book containing 7 short stories), Campfire Stories (a book of 7 short stories in celebration of the anniversary of the Campfire organization), and the Be-A-Detective series (6 choose-your-own adventure books).",Fiction
Beautiful Bastard,"Beautiful Bastard is a 2013 erotic romance novel by Christina Hobbs and Lauren Billings under the singular pen name of Christina Lauren. The book was originally published online as a Twilight fan fiction entitled The Office, with Simon & Schuster purchasing the publishing rights to the series.",Fiction
Gunpowder Empire,Gunpowder Empire is a 2003 alternate history novel by Harry Turtledove. It is the first part of the Crosstime Traffic series.,Fiction
Armand Ecaz,"The Dune prequel series is a sequence of novel trilogies written by Brian Herbert and Kevin J. Anderson. Set in the Dune universe created by Frank Herbert, the novels take place in various time periods before and in between Herbert's original six novels, which began with 1965's Dune. In 1997, Bantam Books made a $3 million deal with the authors for three Dune prequel novels, partially based upon notes left behind by Frank Herbert, that would come to be known as the Prelude to Dune trilogy. Starting with 1999's Dune: House Atreides, the duo have published 15 Dune prequel novels to date.",Fiction
The Dresden Files (TV series),"The Dresden Files is a dark fantasy television series based on the fantasy book series of the same name by Jim Butcher. The series follows private investigator and wizard Harry Dresden as portrayed by Paul Blackthorne, and recounts investigations into supernatural disturbances in modern-day Chicago. It premiered on January 21, 2007, on Sci Fi Channel in the United States and on Space in Canada. It was picked up by Sky One in the UK and began airing on February 14 the same year.",Fiction
List of Inspector Rebus characters,This is a list of characters from the Inspector Rebus series of detective novels by the Scottish writer Ian Rankin. They are all fictional characters that have appeared in more than one novel in the series. A number of the characters appeared in the television adaptations made for ITV.,Fiction
Young Fu of the Upper Yangtze,"Young Fu of the Upper Yangtze is a book by Elizabeth Foreman Lewis that won the Newbery Medal for excellence in American children's literature in 1933. The story revolves around Fu Yuin-fah, the son of a widow from the countryside of western China, who wishes to become a coppersmith in the big city on the Yangtze River, Chungking (now spelled Chongqing). With the help of many people, including an old scholar and a white missionary, his goal is eventually attained. Perhaps because of its colonial overtones, this book has fallen out of favor on recommendation lists.",Fiction
Corin (Narnia),This is a list of characters in the series of fantasy novels by C. S. Lewis called The Chronicles of Narnia. See also a list of portrayals.,Fiction
Quenya,"Quenya (pronounced [ˈkʷwɛɲja]) is a constructed language, one of those devised by J. R. R. Tolkien for the Elves in his Middle-earth fiction.",Fiction
Muggie Maggie,"Muggie Maggie is a book written by Beverly Cleary that was published in the year 1990 revolving around the experiences of eight-year-old Maggie Schultz, and her refusal to learn cursive writing. It has been illustrated by Kay Life, Tracy Dockray, and Alan Tiegreen, and published as audiobooks narrated by Kate Forbes and Kathleen McInerney. It has been translated into Spanish by Ana Cristina Werring Millet.",Fiction
Out of the Dust,"Out of the Dust is a children's verse novel written by Karen Hesse, first published on January 1, 1997.",Fiction
Milo: Sticky Notes and Brain Freeze,"Milo: Sticky Notes and Brain Freeze is a children's novel written by Alan Silberberg, released on July 26, 2011. It won the 2011 QWF Literary Award for Children's and Young Adult Literature and the 2011 Sid Fleischman Humor Award, which is overseen by the Society of Children's Book Writers and Illustrators.",Fiction
The Good Dog,"The Good Dog is a children's novel by Newbery Medalist Edward Irving Wortis published under his pseudonym, Avi, in 2001. Written for ages 8–12, the book has been described as having ""a very cinematic feel"" comparable to the movies The Incredible Journey and Beethoven.",Fiction
Iminyë,"In J. R. R. Tolkien's writings, Elves are the first fictional race to appear in Middle-earth. Unlike Men and Dwarves, Elves  do not die of disease or old age. Should they die in battle or of grief, their souls go to the Halls of Mandos in Aman. After a long life in Middle-earth, Elves yearn for the Earthly Paradise of Valinor, and can sail there from the Grey Havens. They feature in The Hobbit and The Lord of the Rings. Their history is described in detail in The Silmarillion. ",Fiction
A Gladiator Dies Only Once,"A Gladiator Dies Only Once is a collection of short stories by American author Steven Saylor, first published by St. Martin's Press in 2005. It is the eleventh book in his Roma Sub Rosa series of mystery stories set in the final decades of the Roman Republic. The main character is the Roman sleuth Gordianus the Finder.",Fiction
Ori (Tolkien),This article describes all named characters appearing in J. R. R. Tolkien's 1937 book The Hobbit. Creatures as collectives are not included. Characters are categorized by race. Spelling and point of view are given as from The Hobbit.,Fiction
Túrin Turambar,"Túrin Turambar (pronounced [ˈtuːrɪn tuˈrambar]) is a fictional character in J. R. R. Tolkien's legendarium. Turambar and the Foalókë, begun in 1917, is the first appearance of Túrin in the legendarium.  Túrin is a Man of the First Age of Middle-earth, whose family had been cursed by the Dark Lord Morgoth. While trying vainly to defy the curse, Túrin brings ruin across much of Beleriand, and upon himself and his sister Niënor. His title, ""Turambar"", means master of fate.",Fiction
The Mediator,The Mediator is a book series which contains six novels written by Meg Cabot. The first four novels were originally published under Cabot's pseudonym Jenny Carroll by Simon & Schuster. The last two books were published by HarperCollins and under Meg Cabot's name. This book is romance–fiction for teenagers and young adults.,Fiction
Bofur,This article describes all named characters appearing in J. R. R. Tolkien's 1937 book The Hobbit. Creatures as collectives are not included. Characters are categorized by race. Spelling and point of view are given as from The Hobbit.,Fiction
Edward A. M. Cullen,"Edward Cullen (né Edward Anthony Masen, Jr.) is a character in the Twilight book series by Stephenie Meyer. He is featured in the novels Twilight, New Moon, Eclipse and Breaking Dawn, and their corresponding film adaptations, and the novel Midnight Sun—a re-telling of the events of Twilight from Edward's perspective. Edward is a telepathic vampire who, over the course of the series, falls in love with, marries, and fathers a child with Bella Swan, a human teenager who later becomes a vampire as well. In the films, Edward is played by actor Robert Pattinson.",Fiction
Go Tell the Bees That I Am Gone,"Go Tell the Bees That I Am Gone is the ninth book in the Outlander series of novels by Diana Gabaldon, published on November 23, 2021. Centered on time travelling 20th century doctor Claire Randall and her 18th century Scottish Highlander warrior husband Jamie Fraser, the books contain elements of historical fiction, romance, adventure and fantasy.",Fiction
The Silver Pigs,"The Silver Pigs is a 1989 historical mystery crime novel by English author Lindsey Davis and the first book in the Marcus Didius Falco Mysteries series. Set in Rome and Britannia during AD 70, just after the year of the four emperors, the novel stars Marcus Didius Falco, informer and imperial agent. The book's title refers to 200-pound lead ingot ""pigs"" filled with silver ore and stolen from Roman Britain, which feature prominently in the plot.",Fiction
Echidna (Percy Jackson),A description of most characters featured in various mythology series by Rick Riordan.,Fiction
Isabella Cullen,"Isabella ""Bella"" Marie Cullen (née Swan) is the protagonist character of the Twilight book series by Stephenie Meyer. She is initially an ordinary teenage girl, but during the series, Bella falls in love and marries a vampire Edward Cullen, with whom she has a human-vampire hybrid daughter, Renesmee Cullen. The Twilight series, consisting of the novels Twilight, New Moon, Eclipse, and Breaking Dawn, is primarily narrated from Bella's point of view. In The Twilight Saga film series, Bella is portrayed by actress Kristen Stewart.",Fiction
Children of Eden (novel),"Children of Eden is a dystopian young adult novel released by YouTube personality Joey Graceffa on October 4, 2016.",Fiction
The Laughing Corpse,"The Laughing Corpse is a horror and mystery novel by American writer Laurell K. Hamilton, the second book in her Anita Blake: Vampire Hunter series. It continues the adventures of Anita Blake, as she attempts to solve a particularly grisly set of murders, while simultaneously avoiding two potential threats to her life from people interested in using her talents as a zombie animator. Meanwhile, Anita continues to attempt to come to grips with her powers and her relationship with Jean-Claude, the vampire master of St. Louis and Anita's would be lover/master.",Fiction
Innocent (2011 film),"Innocent is a 2011 television drama film directed by Mike Robe, starring Alfred Molina, Bill Pullman, and Marcia Gay Harden, and based on Scott Turow's 2010 novel of the same name, a sequel to Presumed Innocent. In the film, Judge Rusty Sabich (Pullman) is charged with the murder of his wife Barbara (Harden) twenty years after being cleared in the death of his mistress. Robe previously directed The Burden of Proof, another sequel to Presumed Innocent, but which focused on the character Sandy Stern.",Fiction
Confessions of a Teenage Drama Queen (novel),"Confessions of a Teenage Drama Queen is a young adult novel by Dyan Sheldon.  Originally released in 1999 through Candlewick Press, it was later turned into a Disney motion picture of the same name in 2004 starring Lindsay Lohan and was made one of the ALA book picks for 2006.  A sequel, My (Not So) Perfect Life, was released in 2002.",Fiction
Irish Whiskey (novel),Irish Whiskey is the third of the Nuala Anne McGrail series of mystery novels by Roman Catholic priest and author Father Andrew M. Greeley.,Fiction
Gaebril,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Lily Potter,"The following is a list of characters from the Harry Potter series. Each character appears in at least one Harry Potter-related book or story by J. K. Rowling. These books and stories include the seven original Harry Potter novels (1997–2007), Fantastic Beasts and Where to Find Them (2001), Quidditch Through the Ages (2001), The Tales of Beedle the Bard (2008), Harry Potter and the Cursed Child (2016), Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (2016), Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (2016), Hogwarts: An Incomplete and Unreliable Guide (2016) and the Harry Potter prequel (2008).",Fiction
Hurricane Gold,Hurricane Gold is the fourth novel in the Young Bond series depicting Ian Fleming's superspy James Bond as a teenager in the 1930s. The novel is set in Mexico and the Caribbean. It was first published in the UK in September 2007.,Fiction
Tivey Pearlbaton,The light novel Re:Zero and its derivative anime and manga adaptations feature a cast of characters created by Tappei Nagatsuki and designed by Shinichirou Otsuka.,Fiction
The Rubber Band,"The Rubber Band is the third Nero Wolfe detective novel by Rex Stout. Prior to its publication in 1936 by Farrar & Rinehart, Inc., the novel was serialized in six issues of The Saturday Evening Post (February 29 – April 4, 1936). Appearing in one 1960 paperback edition titled To Kill Again, The Rubber Band was also collected in the omnibus volume Five of a Kind (Viking 1961).",Fiction
Ajidica,"Melange (), often referred to as ""the spice"", is the fictional psychedelic drug central to the Dune series of science fiction novels by Frank Herbert and derivative works.",Fiction
Diana Marburg,"Miss Diana Marburg, also known as ""The Oracle of Maddox Street"", is a palmist and female occult detective created by the writers L. T. Meade and Robert Eustace. The character is unusual for Meade, insofar that there is a supernatural element involved in her detective skills, though elements of this are taken from the authors' character John Bell in The Master of Mysteries. Diana Marburg first appeared in the New York edition of Pearson's Magazine in February 1902, in a story entitled 'The Dead Hand'. Two further stories were published, 'Finger Tips' (August 1902) and 'Sir Penn Caryll's Engagement' (December 1902). The stories were published in book form along with seven non-Marburg stories in The Oracle of Maddox Street (Ward, Lock & Co., 1904). ",Fiction
List of Oz characters (post-Baum),This is a list of characters in the original sequel Oz books by L. Frank Baum's successors. ,Fiction
The Dark Star of Itza,"The Dark Star of Itza: The Story of a Pagan Princess is a children's historical novel by Alida Malkus. It portrays the way of life of a princess in the Mayan cities of ancient Yucatán.  The novel, illustrated by Lowell Houser, was first published in 1930 and was a Newbery Honor recipient in 1931.",Fiction
Zelgadis,"The Slayers light novel series features a cast of characters created by Hajime Kanzaka and illustrated by Rui Araizumi. It follows the adventures of teenage sorceress Lina Inverse and her companions as they journey through their world. Using powerful magic and swordsmanship, they battle difficult overreaching wizards, demons seeking to destroy the world, dark lords, and the occasional hapless gang of bandits. Slayers has been adapted into several manga series, five televised anime series, two three-episode original video animations, and five anime films where events and characters differ significantly from the original novels.",Fiction
Understood Betsy,Understood Betsy is a 1916 novel for children by Dorothy Canfield Fisher.,Fiction
Yavanna,"The Valar (['valar]; singular Vala) are characters in J. R. R. Tolkien's Middle-earth writings. They are ""angelic powers"" or ""gods"" subordinate to the one God (Eru Ilúvatar). The Ainulindalë describes how some of the Ainur choose to enter the world (Arda) to complete its material development after its form is determined by the Music of the Ainur. The mightiest of these are called the Valar, or ""the Powers of the World"", and the others are known as the Maiar.",Fiction
"Sarah, Plain and Tall","Sarah, Plain and Tall is a children's book written by Patricia MacLachlan and the winner of the 1986 Newbery Medal, the 1986 Scott O'Dell Award for Historical Fiction, and the 1986 Golden Kite Award. It explores themes of loneliness, abandonment, and coping with change.",Fiction
Code of Honor (Gratz novel),"Code of Honor is a young adult historical fiction novel by Alan Gratz. The book is a ""timely, heart-racing action-adventure about the War on Terror and the bond between brothers."" Code of Honor was published by Scholastic Inc in 2015.",Fiction
Gourry Gabriev,"Gourry Gabriev (ガウリイ・ガブリエフ, Gaurī Gaburiefu) is a fictional character from the Japanese media franchise Slayers. In it, he is a mighty yet dimwitted mercenary swordsman who becomes a travelling companion and self-appointed guardian of the protagonist sorceress Lina Inverse. Despite being one of the most prominent character within the series (along with Lina and Naga the Serpent from the prequel stories), he provides comic relief even within a series that is already primarily a comedy to begin with.",Fiction
Luyseyal,"Dune is a science fiction media franchise that originated with the 1965 novel of the same name by American author Frank Herbert. Dune is frequently cited as the best-selling science fiction novel in history, and won the 1966 Hugo Award as well as the inaugural Nebula Award for Best Novel. Herbert wrote five sequels before his death in 1986: Dune Messiah (1969), Children of Dune (1976), God Emperor of Dune (1981), Heretics of Dune (1984) and Chapterhouse: Dune (1985).",Fiction
Zucchini (novel),"Zucchini is a 1982 children's novel by Barbara Dana and illustrated by Eileen Christelow.  It was followed by a sequel, Zucchini Out West.",Fiction
The Secret of Pirates' Hill,The Secret of Pirates' Hill is Volume 36 in the original The Hardy Boys Mystery Stories published by Grosset & Dunlap.,Fiction
Terra of the Left,"The following is a list of characters from A Certain Magical Index light novel, manga and anime series, and its side-story manga and anime series titled A Certain Scientific Railgun and A Certain Scientific Accelerator, as well as a number of spin-off media. The series primarily takes place in Academy City, a city filled with students who strove to become powerful espers and were brought into conflict by the appearance of sorcerers.",Fiction
Harry dresden,"The Dresden Files is a series of contemporary fantasy/mystery novels written by American author Jim Butcher. The first novel, Storm Front—which was also Butcher's writing debut—was published in 2000 by Roc Books.",Fiction
Just as Long as We're Together (novel),"Just as Long as We're Together is a young adult novel written by Judy Blume and published in 1987. It is a companion book to Here's to You, Rachel Robinson.",Fiction
The Lightning Thief (musical),"The Lightning Thief is a musical with music and lyrics by Rob Rokicki and a book by Joe Tracz, based on the 2005 novel of the same name by Rick Riordan. In the musical,  Percy Jackson - a 12-year-old boy who discovers that he is a demigod - goes on a quest to find Zeus' missing lightning bolt to prevent a war between the Greek gods.",Fiction
Etzali,"The following is a list of characters from A Certain Magical Index light novel, manga and anime series, and its side-story manga and anime series titled A Certain Scientific Railgun and A Certain Scientific Accelerator, as well as a number of spin-off media. The series primarily takes place in Academy City, a city filled with students who strove to become powerful espers and were brought into conflict by the appearance of sorcerers.",Fiction
The Bomb (Taylor novel),"The Bomb is a 1995 novel by Theodore Taylor written about the protest against nuclear testing on Bikini Atoll after the natives are forced to move. The story mainly follows the life of Sorry Rinamu and the effect of the Able bomb tests on the natives. The imagery and historical relevance truly contributes to the heartbreaking story of the islanders. The novel is divided into three books. It was first published by Harcourt Children's Books in October 1995. The book won the 1996 Scott O'Dell Award for Historical Fiction. According to Taylor, the novel is based on his own experience aboard the USS Sumner.",Fiction
The Twilight Saga: Breaking Dawn – Part 2 (soundtrack),"The Twilight Saga: Breaking Dawn – Part 2 (Original Motion Picture Soundtrack) is the soundtrack album to The Twilight Saga: Breaking Dawn – Part 2, released on November 13, 2012. ",Fiction
Haradrim,"In J. R. R. Tolkien's high fantasy The Lord of the Rings, Harad is the immense land south of Gondor and Mordor. Its main port is Umbar, the base of the Corsairs of Umbar whose ships serve as the Dark Lord Sauron's fleet. Its people are the dark-skinned Haradrim or Southrons; their warriors wear scarlet and gold, and are armed with swords and round shields; some ride gigantic elephants called mûmakil.",Fiction
Every Body Looking,"Every Body Looking is a young adult novel in verse by Candice Iloh, published September 22, 2020 by Dutton Books for Young Readers.",Fiction
Serpent Men,"Serpent Men are a fictional race created by Robert E. Howard for his King Kull tales. They first appeared in ""The Shadow Kingdom"", published in Weird Tales in August 1929.",Fiction
Neville Longbottom,"Neville Longbottom is a fictional character in the Harry Potter series of novels by J. K. Rowling. He is described as a round-faced Gryffindor student in the central character Harry Potter's year. Throughout the series, Neville is often portrayed as a bumbling and disorganised character, and a rather mediocre student, though he is highly gifted at Herbology. However, the character's personality appears to undergo a transition after he joins Dumbledore's Army in Harry Potter and the Order of the Phoenix. The encouragement he receives gives him confidence in his magical abilities, turning him into a more competent wizard. Eventually, Neville becomes the leader of Dumbledore's Army during Harry, Ron and Hermione's absence searching for Horcruxes. Neville is instrumental in the downfall of Lord Voldemort and eventually destroys the final Horcrux, which allows Harry to defeat the Dark Lord once and for all. Neville is portrayed by Matthew Lewis in the Harry Potter films.",Fiction
Every Other Day,"Every Other Day is a young adult novel by Jennifer Lynn Barnes, published December 27, 2011 by Egmont Books.",Fiction
Chinese Cinderella and the Secret Dragon Society,"Chinese Cinderella and the Secret Dragon Society is a 2004 historical novel by Adeline Yen Mah. It is the fictional sequel to her autobiography for children, Chinese Cinderella.",Fiction
Nynaeve,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Professor Eleazar Fig,"Hogwarts Legacy is a 2023 action role-playing game developed by Avalanche Software and published by Warner Bros. Games under its Portkey Games label. It is part of the Wizarding World franchise, taking place a century prior to the Harry Potter novels. The player controls a student enrolled at Hogwarts School of Witchcraft and Wizardry who learns to wield an array of magical abilities and objects. With the assistance of fellow students and professors, the protagonist embarks on a journey to unearth an ancient secret concealed within the wizarding world.",Fiction
Sniff (Moomin character),"Sniff (Swedish: Sniff) is a character in the Moomin stories created by Tove Jansson. His debut is in the first Moomin-book The Moomins and the Great Flood. In addition to books, he is also a prominent character in the Moomin comics and animations.",Fiction
Beedle the Bard,"The Tales of Beedle the Bard is a book of fairy tales by author J. K. Rowling. There is a storybook of the same name mentioned in Harry Potter and the Deathly Hallows, the final novel of the Harry Potter series.",Fiction
